epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8256,2.78579,4.55899,2.33314,0.19421,0.22112,0.14481,0.03962,2.61782,3.87275,2.3058,0.000473998,0.000473998,0.000473998
2,68.8574,2.45451,3.38289,2.13416,0.61807,0.24268,0.25255,0.07281,2.47055,2.78637,2.13079,0.000856249,0.000856249,0.000856249
3,90.5907,2.4334,2.85485,2.1003,0.79243,0.38474,0.42591,0.17038,2.25693,2.37949,1.95822,0.00114419,0.00114419,0.00114419
4,112.264,2.34443,2.5547,2.08394,0.80659,0.36576,0.43369,0.15755,2.23745,2.36031,2.04137,0.00100459,0.00100459,0.00100459
5,133.914,2.30879,2.39867,2.0249,0.84141,0.4254,0.50036,0.20188,2.14392,2.19581,1.96714,0.000863116,0.000863116,0.000863116
6,154.71,2.25247,2.22533,1.98423,0.79804,0.44682,0.51561,0.206,2.12288,2.05018,1.97952,0.000721645,0.000721645,0.000721645
7,175.438,2.21572,2.12674,1.9462,0.85149,0.51098,0.56856,0.24264,2.0833,1.98929,1.87929,0.000580174,0.000580174,0.000580174
8,196.556,2.18663,2.05034,1.93102,0.52336,0.51927,0.58954,0.24731,2.07182,1.93816,1.87789,0.000438703,0.000438703,0.000438703
9,218.925,2.15341,1.98208,1.89977,0.8714,0.53156,0.60327,0.24533,2.07441,1.84694,1.86565,0.000297232,0.000297232,0.000297232
10,240.914,2.09808,1.91619,1.86539,0.71317,0.58426,0.63256,0.25693,2.06695,1.80694,1.85706,0.000155761,0.000155761,0.000155761
