epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.0323,3.74416,4.35887,4.42314,0.00375,0.57398,0.01114,0.00344,3.33024,3.88627,4.0252,0.000471663,0.000471663,0.000471663
2,37.0991,3.26863,3.26771,3.93733,0.29476,0.26341,0.24571,0.09624,3.36703,2.87796,4.19243,0.000929226,0.000929226,0.000929226
3,53.382,3.19694,2.91867,3.9375,0.67157,0.27376,0.26433,0.09913,3.23455,3.83294,4.14514,0.00136793,0.00136793,0.00136793
4,69.721,3.15854,2.7237,3.98769,0.20067,0.28941,0.16908,0.05139,3.14682,2.81023,4.14329,0.00134412,0.00134412,0.00134412
5,85.9732,3.1492,2.52525,3.95048,0.41506,0.31054,0.36537,0.13613,2.97117,2.57466,4.02562,0.00131582,0.00131582,0.00131582
6,102.054,3.07229,2.42891,3.87271,0.3683,0.40289,0.38433,0.15928,2.90063,2.41744,4.03212,0.00128753,0.00128753,0.00128753
7,118.659,3.00142,2.34005,3.79767,0.80274,0.41094,0.4677,0.18599,2.93983,2.17523,3.99351,0.00125923,0.00125923,0.00125923
8,134.917,2.97271,2.26144,3.7135,0.77538,0.42158,0.46878,0.18535,2.86015,2.19864,3.96935,0.00123094,0.00123094,0.00123094
9,151.324,2.98691,2.24269,3.76505,0.82345,0.43447,0.52654,0.21635,2.83435,2.08741,3.87721,0.00120265,0.00120265,0.00120265
10,167.395,2.91603,2.16795,3.68559,0.60859,0.40528,0.4606,0.15934,3.0063,2.30157,3.96271,0.00117435,0.00117435,0.00117435
11,183.25,2.90345,2.15133,3.69455,0.5296,0.46485,0.48783,0.19387,2.81322,2.14259,3.86443,0.00114606,0.00114606,0.00114606
12,198.947,2.88305,2.14956,3.65524,0.57932,0.46426,0.50378,0.2077,2.98016,2.12374,3.95221,0.00111776,0.00111776,0.00111776
13,214.315,2.86398,2.08862,3.6412,0.68239,0.49945,0.56359,0.23222,2.80946,2.00574,3.7848,0.00108947,0.00108947,0.00108947
14,229.556,2.87055,2.05522,3.66821,0.83653,0.52116,0.58077,0.23525,2.80302,1.96542,3.88558,0.00106118,0.00106118,0.00106118
15,244.97,2.81731,2.03325,3.57643,0.72531,0.49183,0.57001,0.23243,2.78744,1.99038,3.76436,0.00103288,0.00103288,0.00103288
16,260.483,2.83722,2.01826,3.5435,0.81228,0.52526,0.56291,0.23123,2.83167,1.93391,3.86435,0.00100459,0.00100459,0.00100459
17,276.51,2.85262,2.02841,3.61676,0.6391,0.49705,0.57125,0.23758,2.8358,2.0788,3.83669,0.000976293,0.000976293,0.000976293
18,292.305,2.79299,1.95239,3.55579,0.64648,0.54546,0.62345,0.25932,2.7677,1.8422,3.84223,0.000947999,0.000947999,0.000947999
19,308.2,2.80672,1.94734,3.51439,0.86937,0.53435,0.5949,0.23848,2.78656,1.93879,3.74629,0.000919704,0.000919704,0.000919704
20,324.099,2.81374,1.94696,3.58972,0.66167,0.55139,0.60012,0.25062,2.79242,1.87581,3.83975,0.00089141,0.00089141,0.00089141
21,339.993,2.76145,1.93097,3.54625,0.6505,0.5602,0.58472,0.21349,2.86138,1.96809,3.84579,0.000863116,0.000863116,0.000863116
22,355.511,2.74627,1.89538,3.4703,0.6902,0.56387,0.62614,0.26365,2.77498,1.79487,3.72928,0.000834822,0.000834822,0.000834822
23,370.894,2.76279,1.86747,3.46491,0.68157,0.55042,0.59676,0.25547,2.7518,1.94606,3.72675,0.000806528,0.000806528,0.000806528
24,386.536,2.74202,1.86539,3.47055,0.72386,0.54067,0.60895,0.25301,2.82284,1.9547,3.73259,0.000778233,0.000778233,0.000778233
25,402.409,2.74105,1.86481,3.44006,0.69231,0.59248,0.64045,0.2704,2.74215,1.76535,3.70644,0.000749939,0.000749939,0.000749939
26,418.793,2.718,1.83629,3.42228,0.75841,0.54779,0.63849,0.27046,2.76214,1.75026,3.75675,0.000721645,0.000721645,0.000721645
27,434.486,2.762,1.84747,3.50109,0.76597,0.57103,0.63413,0.26518,2.72729,1.76665,3.65242,0.000693351,0.000693351,0.000693351
28,450.004,2.68047,1.80638,3.39988,0.7701,0.56835,0.61711,0.27012,2.75647,1.74454,3.64856,0.000665057,0.000665057,0.000665057
29,465.334,2.68028,1.78847,3.38748,0.72927,0.6008,0.64723,0.27701,2.72321,1.73656,3.69856,0.000636762,0.000636762,0.000636762
30,480.865,2.66354,1.7855,3.39571,0.69543,0.6017,0.64531,0.28061,2.69018,1.69615,3.6745,0.000608468,0.000608468,0.000608468
31,496.471,2.67891,1.7712,3.4031,0.69747,0.58727,0.63588,0.26997,2.72621,1.7464,3.70682,0.000580174,0.000580174,0.000580174
32,512.799,2.68609,1.77468,3.39241,0.70796,0.59027,0.64922,0.26156,2.76183,1.7395,3.80473,0.00055188,0.00055188,0.00055188
33,528.825,2.66841,1.75268,3.41076,0.62762,0.65431,0.66986,0.29016,2.75453,1.66561,3.64373,0.000523586,0.000523586,0.000523586
34,544.874,2.62545,1.7061,3.314,0.67878,0.63168,0.67457,0.29476,2.71624,1.65018,3.67773,0.000495291,0.000495291,0.000495291
35,560.867,2.64344,1.72196,3.34032,0.61547,0.6728,0.66662,0.28737,2.73436,1.67854,3.66789,0.000466997,0.000466997,0.000466997
36,576.615,2.62279,1.69964,3.33502,0.61437,0.68232,0.66901,0.2912,2.72608,1.6661,3.72861,0.000438703,0.000438703,0.000438703
37,592.433,2.60188,1.67083,3.33785,0.63033,0.67104,0.68032,0.29849,2.73428,1.64083,3.68483,0.000410409,0.000410409,0.000410409
38,607.965,2.60392,1.6768,3.28458,0.77538,0.6089,0.68333,0.29375,2.71319,1.6457,3.64004,0.000382115,0.000382115,0.000382115
39,623.847,2.60021,1.65671,3.28743,0.76145,0.59807,0.6746,0.29238,2.7155,1.65399,3.6269,0.00035382,0.00035382,0.00035382
40,639.683,2.59759,1.6609,3.29584,0.62151,0.67151,0.684,0.29674,2.70338,1.62396,3.61546,0.000325526,0.000325526,0.000325526
41,679.431,2.58879,1.57711,3.4223,0.62251,0.68487,0.68971,0.30835,2.69414,1.58334,3.58592,0.000297232,0.000297232,0.000297232
42,694.865,2.57694,1.54251,3.41528,0.67113,0.66519,0.69327,0.30471,2.71783,1.58159,3.62814,0.000268938,0.000268938,0.000268938
43,710.354,2.54841,1.52033,3.38987,0.65588,0.67761,0.69884,0.3045,2.6995,1.56733,3.62316,0.000240644,0.000240644,0.000240644
44,726.617,2.51736,1.51085,3.39921,0.69793,0.68536,0.69842,0.29919,2.73323,1.55137,3.65959,0.000212349,0.000212349,0.000212349
45,742.678,2.48963,1.47581,3.34523,0.68131,0.68393,0.70589,0.31037,2.70156,1.5652,3.63414,0.000184055,0.000184055,0.000184055
46,759.259,2.49653,1.47009,3.34898,0.68203,0.68646,0.70494,0.31506,2.69047,1.56112,3.5959,0.000155761,0.000155761,0.000155761
47,775.354,2.48876,1.45661,3.33856,0.6535,0.69171,0.70177,0.31248,2.69147,1.54265,3.61578,0.000127467,0.000127467,0.000127467
48,791.646,2.4589,1.4397,3.32649,0.68343,0.69839,0.70494,0.31533,2.70316,1.53018,3.63079,9.91726e-05,9.91726e-05,9.91726e-05
49,807.615,2.46425,1.43961,3.30867,0.67953,0.69221,0.7057,0.31503,2.69206,1.51716,3.61556,7.08784e-05,7.08784e-05,7.08784e-05
