epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.6793,2.8226,4.30778,2.21262,0.15103,0.08571,0.03865,0.01203,2.42768,3.85576,2.08441,0.000471663,0.000471663,0.000471663
2,35.3237,2.45303,3.21429,1.99161,0.29382,0.26273,0.19568,0.0602,2.37796,3.003,2.01949,0.000929226,0.000929226,0.000929226
3,51.3119,2.40073,2.81994,1.98492,0.69674,0.34122,0.3302,0.11984,2.33416,3.80236,2.10676,0.00136793,0.00136793,0.00136793
4,66.9763,2.31964,2.63695,1.94787,0.72261,0.34636,0.37403,0.14734,2.32756,2.54658,1.96933,0.00134412,0.00134412,0.00134412
5,82.6145,2.33766,2.47785,1.9399,0.74115,0.37812,0.41801,0.1592,2.16218,2.72792,2.03739,0.00131582,0.00131582,0.00131582
6,98.2301,2.29308,2.38927,1.90901,0.79842,0.40543,0.44899,0.16916,2.19914,2.53443,1.96209,0.00128753,0.00128753,0.00128753
7,113.924,2.25734,2.31841,1.89678,0.83145,0.40022,0.47916,0.18246,2.19952,2.21254,1.9721,0.00125923,0.00125923,0.00125923
8,129.966,2.21981,2.26894,1.85037,0.59126,0.44499,0.4863,0.18247,2.15917,2.2285,1.9164,0.00123094,0.00123094,0.00123094
9,146.167,2.21564,2.18049,1.87717,0.85926,0.47448,0.56701,0.22574,2.16075,2.00118,1.94725,0.00120265,0.00120265,0.00120265
10,162.151,2.17735,2.14575,1.85356,0.61182,0.48258,0.54656,0.21695,2.15203,2.01163,2.00117,0.00117435,0.00117435,0.00117435
11,178.128,2.18081,2.1155,1.84469,0.63927,0.4513,0.52891,0.19803,2.14305,2.10603,1.87276,0.00114606,0.00114606,0.00114606
12,194.088,2.17564,2.07895,1.82714,0.5801,0.48852,0.53087,0.20198,2.18248,2.06694,1.96572,0.00111776,0.00111776,0.00111776
13,209.751,2.15084,2.02569,1.81226,0.82795,0.4981,0.58268,0.23298,2.12316,1.92206,1.95383,0.00108947,0.00108947,0.00108947
14,225.676,2.15906,2.00934,1.81624,0.59317,0.52133,0.54817,0.22488,2.08376,2.00214,1.86775,0.00106118,0.00106118,0.00106118
15,241.452,2.14844,2.01131,1.80828,0.86315,0.51485,0.59422,0.24453,2.0416,1.89713,1.86998,0.00103288,0.00103288,0.00103288
16,257.245,2.13267,2.02769,1.80173,0.75669,0.50328,0.53342,0.20655,2.09325,1.96191,1.8872,0.00100459,0.00100459,0.00100459
17,272.81,2.12268,1.9628,1.78562,0.66476,0.53777,0.59724,0.23029,2.08264,1.91832,1.89498,0.000976293,0.000976293,0.000976293
18,288.384,2.1106,1.9566,1.78408,0.66382,0.56167,0.59147,0.24342,2.08401,1.93064,1.88643,0.000947999,0.000947999,0.000947999
19,303.874,2.09212,1.91275,1.76857,0.68037,0.53262,0.5803,0.22751,2.14935,1.95418,1.90665,0.000919704,0.000919704,0.000919704
20,319.204,2.05872,1.86056,1.73941,0.75347,0.55657,0.60511,0.25189,2.10485,1.84043,1.8923,0.00089141,0.00089141,0.00089141
21,334.476,2.0771,1.87173,1.75539,0.65325,0.55733,0.62086,0.26346,2.0813,1.80644,1.90001,0.000863116,0.000863116,0.000863116
22,349.706,2.08063,1.89859,1.74146,0.71574,0.56851,0.58936,0.24717,2.07872,1.79904,1.81936,0.000834822,0.000834822,0.000834822
23,365.299,2.06228,1.84887,1.75166,0.62932,0.6156,0.63384,0.26853,2.07078,1.82304,1.89833,0.000806528,0.000806528,0.000806528
24,381.408,2.04856,1.82506,1.73623,0.69104,0.60066,0.63782,0.28357,2.04843,1.87282,1.85633,0.000778233,0.000778233,0.000778233
25,397.584,2.05597,1.8461,1.74491,0.69282,0.59403,0.62992,0.2676,2.05937,1.78699,1.87806,0.000749939,0.000749939,0.000749939
26,413.701,2.05183,1.82736,1.74779,0.7345,0.58712,0.63412,0.27377,2.04329,1.77918,1.85711,0.000721645,0.000721645,0.000721645
27,429.754,2.03806,1.78674,1.72705,0.79262,0.58406,0.66686,0.2952,2.02705,1.72307,1.81776,0.000693351,0.000693351,0.000693351
28,445.925,2.03318,1.7806,1.72014,0.74517,0.59655,0.654,0.28222,2.05259,1.82824,1.8878,0.000665057,0.000665057,0.000665057
29,461.597,2.03844,1.75748,1.73553,0.66943,0.64342,0.66112,0.26732,2.06752,1.71803,1.85033,0.000636762,0.000636762,0.000636762
30,477.254,2.00657,1.76409,1.71906,0.66039,0.65087,0.65027,0.28345,2.04125,1.67708,1.84872,0.000608468,0.000608468,0.000608468
31,493.028,2.02056,1.73857,1.71078,0.60575,0.68419,0.68469,0.29646,2.04394,1.66919,1.83541,0.000580174,0.000580174,0.000580174
32,508.605,2.02453,1.73554,1.69763,0.69321,0.63593,0.65927,0.27977,2.04482,1.68625,1.84704,0.00055188,0.00055188,0.00055188
33,524.005,2.00422,1.72046,1.69316,0.75063,0.59751,0.65392,0.27723,2.03657,1.69378,1.83369,0.000523586,0.000523586,0.000523586
34,539.654,1.99678,1.7133,1.6876,0.71813,0.62983,0.66657,0.29366,2.02563,1.68156,1.83633,0.000495291,0.000495291,0.000495291
35,555.044,1.9875,1.65606,1.6823,0.73474,0.62385,0.68021,0.2975,2.01181,1.60847,1.81941,0.000466997,0.000466997,0.000466997
36,570.475,1.96268,1.65151,1.67865,0.69248,0.65444,0.68599,0.30347,2.00602,1.66324,1.83557,0.000438703,0.000438703,0.000438703
37,585.719,1.97279,1.6746,1.66547,0.75611,0.61676,0.68089,0.30037,2.02034,1.62642,1.80416,0.000410409,0.000410409,0.000410409
38,601.021,1.97083,1.6618,1.6729,0.69872,0.65217,0.68392,0.29577,2.026,1.60682,1.83576,0.000382115,0.000382115,0.000382115
39,617.134,1.9644,1.64611,1.66094,0.68382,0.68455,0.69515,0.30244,2.03114,1.61957,1.81621,0.00035382,0.00035382,0.00035382
40,633.461,1.95891,1.62611,1.65344,0.70314,0.65741,0.68055,0.2977,2.02028,1.59879,1.80841,0.000325526,0.000325526,0.000325526
41,658.722,1.93899,1.56778,1.73318,0.66002,0.6583,0.66924,0.28631,2.03766,1.63955,1.82931,0.000297232,0.000297232,0.000297232
42,674.688,1.92487,1.5332,1.72624,0.671,0.67918,0.69871,0.30742,2.04179,1.5809,1.81273,0.000268938,0.000268938,0.000268938
43,690.544,1.91705,1.50523,1.71442,0.67607,0.66545,0.69067,0.31387,2.02706,1.55778,1.7974,0.000240644,0.000240644,0.000240644
44,706.65,1.90665,1.48815,1.70713,0.69886,0.68003,0.70813,0.30875,2.03804,1.53452,1.79745,0.000212349,0.000212349,0.000212349
45,722.589,1.88107,1.46478,1.69542,0.6834,0.67783,0.69475,0.31325,2.00814,1.55223,1.80434,0.000184055,0.000184055,0.000184055
46,738.504,1.88653,1.45604,1.69515,0.66421,0.70037,0.69718,0.3137,2.00904,1.53789,1.79557,0.000155761,0.000155761,0.000155761
47,754.395,1.87768,1.43205,1.68497,0.69438,0.6902,0.70435,0.31539,2.02155,1.52563,1.80375,0.000127467,0.000127467,0.000127467
