epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.3053,3.72396,4.6319,4.70904,0.25539,0.25619,0.17012,0.05851,3.28462,3.31886,4.14689,0.000473998,0.000473998,0.000473998
2,58.307,3.30843,3.37589,4.27415,0.28704,0.28328,0.2154,0.06527,3.24523,2.88078,4.24038,0.000855299,0.000855299,0.000855299
3,79.7607,3.22673,2.89572,4.18956,0.75743,0.29614,0.35105,0.12182,3.16867,2.81483,4.07252,0.00114133,0.00114133,0.00114133
4,101.761,3.13467,2.56356,4.14741,0.78956,0.39419,0.43323,0.1658,3.03636,2.31613,4.0275,0.0010003,0.0010003,0.0010003
5,123.097,3.0612,2.4114,4.04886,0.79418,0.3657,0.44534,0.17905,2.93268,2.25814,4.03153,0.000857401,0.000857401,0.000857401
6,144.325,3.02519,2.29084,3.95868,0.81286,0.43453,0.48943,0.19956,2.81889,2.16385,3.83825,0.000714501,0.000714501,0.000714501
7,165.168,2.9464,2.13206,3.86124,0.83869,0.48236,0.55048,0.23376,2.80392,1.98473,3.77539,0.000571601,0.000571601,0.000571601
8,186.751,2.87869,2.08712,3.79933,0.5775,0.49829,0.55989,0.23697,2.77523,1.9344,3.73057,0.000428701,0.000428701,0.000428701
9,210.259,2.83379,1.97347,3.76952,0.6757,0.51036,0.61142,0.26226,2.74429,1.86404,3.66587,0.000285801,0.000285801,0.000285801
10,233.059,2.79406,1.91767,3.69252,0.77182,0.55435,0.6267,0.26698,2.719,1.81924,3.63876,0.000142901,0.000142901,0.000142901
