epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.2161,3.72017,4.27875,4.47055,0.10535,0.1675,0.06113,0.01891,3.4261,3.90969,4.2962,0.000473998,0.000473998,0.000473998
2,48.91,3.29456,3.32452,4.00567,0.63429,0.23011,0.24182,0.08623,3.11582,3.09018,3.93287,0.000931325,0.000931325,0.000931325
3,70.4108,3.24982,2.92325,4.04283,0.33041,0.28411,0.27433,0.10067,3.04442,2.69646,4.04818,0.0013696,0.0013696,0.0013696
4,91.5839,3.19761,2.73884,3.99278,0.74178,0.33379,0.36576,0.12265,3.02637,2.61646,4.19584,0.00134326,0.00134326,0.00134326
5,112.618,3.11488,2.5696,3.86597,0.56321,0.36136,0.38721,0.13774,3.02191,3.03786,4.07399,0.00131468,0.00131468,0.00131468
6,134.703,3.1028,2.47483,3.90418,0.4966,0.39637,0.4256,0.16197,2.96894,2.30989,4.00555,0.0012861,0.0012861,0.0012861
7,157.534,3.0382,2.42199,3.81699,0.78951,0.40998,0.45885,0.17293,2.91794,2.24787,4.03664,0.00125752,0.00125752,0.00125752
8,186.224,3.00748,2.34783,3.83932,0.46087,0.38752,0.45493,0.17464,2.85229,2.35964,4.17073,0.00122894,0.00122894,0.00122894
9,208.844,2.9777,2.29194,3.79929,0.80391,0.39826,0.45978,0.17209,2.83242,2.16961,3.85083,0.00120036,0.00120036,0.00120036
10,231.74,2.94074,2.22077,3.75379,0.61727,0.45688,0.49805,0.17895,2.90043,2.08573,3.89305,0.00117178,0.00117178,0.00117178
11,253.941,2.96524,2.21353,3.7529,0.55265,0.46713,0.4968,0.1946,2.84873,2.10373,3.83419,0.0011432,0.0011432,0.0011432
12,276.329,2.91598,2.18941,3.7042,0.84819,0.47181,0.56571,0.23905,2.75752,1.99692,3.81183,0.00111462,0.00111462,0.00111462
13,298.617,2.92223,2.15413,3.70568,0.74207,0.46155,0.50739,0.2024,2.85962,2.06225,3.88334,0.00108604,0.00108604,0.00108604
