epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.2076,2.95146,2.8731,3.68437,0.30057,0.33013,0.20915,0.0667,3.15705,2.53129,4.15015,0.000663664,0.000663664,0.000663664
2,45.6914,2.93999,2.28056,3.72197,0.53615,0.44551,0.45833,0.16636,2.86383,1.94617,3.79522,0.00130372,0.00130372,0.00130372
3,68.9238,2.92119,2.0428,3.7798,0.54441,0.375,0.37771,0.14074,3.10706,2.24961,4.19943,0.00191712,0.00191712,0.00191712
4,90.8949,2.87955,1.90567,3.72786,0.53713,0.45833,0.48664,0.19506,2.94555,1.86657,3.94653,0.00188,0.00188,0.00188
5,112.565,2.78217,1.78409,3.60643,0.63346,0.54487,0.61672,0.25035,2.67285,1.60579,3.56234,0.00184,0.00184,0.00184
6,134.385,2.78784,1.72279,3.66177,0.66,0.57372,0.6296,0.24841,2.703,1.64132,3.76009,0.0018,0.0018,0.0018
7,156.243,2.74115,1.72086,3.58045,0.74878,0.56364,0.69134,0.30214,2.54521,1.49227,3.61198,0.00176,0.00176,0.00176
8,177.37,2.70881,1.69483,3.55102,0.79821,0.65926,0.76264,0.32712,2.5886,1.36931,3.51286,0.00172,0.00172,0.00172
9,198.914,2.65641,1.60181,3.47125,0.60016,0.52885,0.62558,0.25074,2.74364,1.61662,3.79287,0.00168,0.00168,0.00168
10,220.419,2.6426,1.59726,3.50125,0.75052,0.62673,0.74575,0.32784,2.57287,1.35882,3.53603,0.00164,0.00164,0.00164
11,242.19,2.64221,1.55427,3.47241,0.73832,0.69633,0.76438,0.33851,2.51416,1.36427,3.50729,0.0016,0.0016,0.0016
12,263.553,2.62403,1.53304,3.46237,0.62294,0.48186,0.59868,0.26692,2.60358,1.65202,3.62537,0.00156,0.00156,0.00156
13,285.213,2.58568,1.45264,3.39646,0.75898,0.69551,0.8073,0.35902,2.52411,1.25351,3.43399,0.00152,0.00152,0.00152
14,308.658,2.5313,1.44647,3.33556,0.77797,0.76282,0.82076,0.36483,2.48172,1.21165,3.40457,0.00148,0.00148,0.00148
15,331.141,2.52956,1.43371,3.35433,0.72054,0.78526,0.82938,0.39196,2.34163,1.18858,3.30614,0.00144,0.00144,0.00144
16,353.478,2.53881,1.40193,3.35176,0.81492,0.80442,0.86492,0.40547,2.39239,1.1535,3.32579,0.0014,0.0014,0.0014
17,375.936,2.5095,1.3809,3.29729,0.7783,0.76513,0.81921,0.38342,2.40272,1.17899,3.38222,0.00136,0.00136,0.00136
18,397.888,2.51067,1.34336,3.2893,0.77848,0.69872,0.78004,0.35414,2.4629,1.30445,3.45118,0.00132,0.00132,0.00132
19,420.323,2.43768,1.35567,3.22573,0.73124,0.78205,0.82993,0.38548,2.44742,1.14649,3.36799,0.00128,0.00128,0.00128
20,442.225,2.48704,1.35845,3.26913,0.73887,0.73459,0.80165,0.37088,2.41558,1.19678,3.34605,0.00124,0.00124,0.00124
21,464.746,2.48167,1.29137,3.27399,0.84812,0.74679,0.84964,0.39293,2.43583,1.12027,3.38481,0.0012,0.0012,0.0012
22,486.903,2.43092,1.25539,3.21088,0.83084,0.79167,0.8864,0.42382,2.34469,1.07532,3.32628,0.00116,0.00116,0.00116
23,509.315,2.42741,1.27298,3.20876,0.84924,0.83974,0.89244,0.42941,2.35953,1.03893,3.29001,0.00112,0.00112,0.00112
24,531.57,2.40224,1.25062,3.19905,0.86943,0.78526,0.88899,0.41613,2.41975,1.03724,3.38519,0.00108,0.00108,0.00108
25,553.424,2.38043,1.24952,3.1816,0.8572,0.78883,0.88407,0.40824,2.49896,1.06018,3.43074,0.00104,0.00104,0.00104
26,575.326,2.40227,1.22709,3.20267,0.8423,0.80462,0.85917,0.41775,2.40506,1.04241,3.32593,0.001,0.001,0.001
27,596.035,2.34012,1.18906,3.09935,0.84465,0.81904,0.89386,0.44397,2.37382,0.99899,3.25854,0.000960001,0.000960001,0.000960001
28,617.081,2.35404,1.17385,3.12989,0.83618,0.80163,0.87289,0.43915,2.35527,0.98479,3.30274,0.000920001,0.000920001,0.000920001
29,638.384,2.38798,1.1617,3.14492,0.91889,0.84615,0.92561,0.43908,2.40095,0.9631,3.33793,0.000880001,0.000880001,0.000880001
30,659.524,2.35447,1.14681,3.12958,0.84539,0.78846,0.88203,0.42439,2.35892,1.01316,3.30118,0.000840001,0.000840001,0.000840001
31,680.262,2.3402,1.14533,3.08833,0.84472,0.85434,0.90737,0.43818,2.36468,0.94415,3.27101,0.000800001,0.000800001,0.000800001
32,701.724,2.328,1.14126,3.09787,0.88327,0.82051,0.90431,0.44429,2.34039,0.93878,3.28232,0.000760001,0.000760001,0.000760001
33,723.287,2.27922,1.1126,3.04885,0.8939,0.83013,0.91865,0.4359,2.35622,0.9264,3.32274,0.000720001,0.000720001,0.000720001
34,744.452,2.27012,1.09775,3.06806,0.86593,0.84876,0.90333,0.41936,2.38512,0.97277,3.34996,0.000680001,0.000680001,0.000680001
35,766.326,2.28159,1.08824,3.0626,0.93372,0.85577,0.93009,0.4553,2.36181,0.90588,3.30251,0.000640001,0.000640001,0.000640001
36,789.326,2.26273,1.07132,3.04667,0.86965,0.83013,0.91429,0.44539,2.35522,0.90815,3.30126,0.000600001,0.000600001,0.000600001
37,811.407,2.26296,1.06253,3.03664,0.90744,0.88141,0.9451,0.47098,2.29264,0.8639,3.24892,0.000560001,0.000560001,0.000560001
38,833.089,2.22886,1.06803,3.0209,0.89151,0.87821,0.92425,0.46149,2.35492,0.86006,3.2638,0.000520001,0.000520001,0.000520001
39,855.003,2.22581,1.03482,3.02421,0.89931,0.85879,0.9169,0.44656,2.33381,0.8715,3.30276,0.000480002,0.000480002,0.000480002
40,876.408,2.22565,1.06298,2.98862,0.86304,0.88867,0.92706,0.45765,2.31368,0.88902,3.24996,0.000440002,0.000440002,0.000440002
41,906.954,2.20354,0.94145,3.07231,0.89514,0.87179,0.93396,0.44925,2.32096,0.87167,3.27572,0.000400002,0.000400002,0.000400002
42,928.795,2.14327,0.89353,3.03806,0.92222,0.85577,0.92802,0.4662,2.27701,0.83312,3.24167,0.000360002,0.000360002,0.000360002
43,949.919,2.13646,0.88778,3.01265,0.90237,0.87179,0.93207,0.48297,2.28415,0.84258,3.24807,0.000320002,0.000320002,0.000320002
44,970.815,2.1237,0.87098,2.9982,0.87782,0.91987,0.94015,0.46462,2.33396,0.83598,3.3119,0.000280002,0.000280002,0.000280002
45,991.644,2.09299,0.86055,3.0097,0.90614,0.89103,0.93339,0.47424,2.3133,0.83173,3.29152,0.000240002,0.000240002,0.000240002
46,1013.94,2.08229,0.83229,2.96887,0.90634,0.89942,0.92422,0.47562,2.31024,0.80336,3.30858,0.000200002,0.000200002,0.000200002
47,1036.76,2.06665,0.83118,2.97854,0.92837,0.91667,0.93963,0.4852,2.28292,0.79103,3.27347,0.000160002,0.000160002,0.000160002
48,1058.87,2.04754,0.83077,2.9546,0.91559,0.90394,0.93654,0.48183,2.30362,0.79439,3.28964,0.000120002,0.000120002,0.000120002
49,1081.28,2.05581,0.81869,2.94363,0.92021,0.8871,0.93152,0.48985,2.26645,0.79016,3.24151,8.00019e-05,8.00019e-05,8.00019e-05
50,1103.23,2.02393,0.81134,2.91901,0.91848,0.90064,0.94251,0.48866,2.28202,0.79254,3.27844,4.0002e-05,4.0002e-05,4.0002e-05
